Indexcd,Trddt,Opnindex,Hiindex,Loindex,Clsindex,Retindex
000001,2017/12/26,3277.837,3307.299,3274.327,3306.125,0.007823
000001,2017/12/27,3302.461,3307.08,3270.349,3275.783,-0.009178
000001,2017/12/28,3272.291,3304.096,3263.728,3296.385,0.006289
000001,2017/12/29,3295.246,3308.225,3292.77,3307.172,0.003272
000001,2018/1/2,3314.031,3349.053,3314.031,3348.326,0.012444
000001,2018/1/3,3347.743,3379.915,3345.289,3369.108,0.006207
000001,2018/1/4,3371,3392.826,3365.295,3385.71,0.004928
000001,2018/1/5,3386.464,3402.069,3380.245,3391.75,0.001784
000001,2018/1/8,3391.553,3412.731,3384.559,3409.479,0.005227
000001,2018/1/9,3406.112,3417.228,3403.587,3413.9,0.001297
000001,2018/1/10,3414.113,3430.214,3398.842,3421.834,0.002324
000001,2018/1/11,3415.585,3426.483,3405.639,3425.345,0.001026
000001,2018/1/12,3423.879,3435.424,3417.98,3428.941,0.00105
000001,2018/1/15,3428.951,3442.501,3402.312,3410.488,-0.005382
000001,2018/1/16,3403.469,3437.583,3401.961,3436.594,0.007655
000001,2018/1/17,3438.576,3465.205,3430.511,3444.671,0.00235
000001,2018/1/18,3449.881,3476.546,3448.789,3474.754,0.008733
000001,2018/1/19,3481.62,3498.434,3474.291,3487.864,0.003773
000001,2018/1/22,3476.994,3503.386,3475.673,3501.362,0.00387
000001,2018/1/23,3504.344,3547.222,3504.344,3546.505,0.012893
000001,2018/1/24,3553.479,3569.489,3527.112,3559.465,0.003654
000001,2018/1/25,3555.168,3571.481,3528.035,3548.307,-0.003135
000001,2018/1/26,3535.493,3574.905,3534.195,3558.129,0.002768
000001,2018/1/29,3563.64,3587.032,3510.269,3523.001,-0.009873
000001,2018/1/30,3511.501,3523.051,3484.656,3488.009,-0.009932
000001,2018/1/31,3470.509,3495.453,3454.726,3480.833,-0.002057
000001,2018/2/1,3478.67,3495.093,3424.419,3446.98,-0.009726
000001,2018/2/2,3419.225,3463.164,3388.86,3462.081,0.004381
000001,2018/2/5,3411.67,3487.721,3406.24,3487.497,0.007341
000001,2018/2/6,3418.01,3440.124,3364.216,3370.652,-0.033504
000001,2018/2/7,3412.744,3425.538,3304.007,3309.26,-0.018214
000001,2018/2/8,3281.046,3307.162,3225.712,3262.05,-0.014266
000001,2018/2/9,3172.851,3180.11,3062.743,3129.851,-0.040526
000001,2018/2/12,3128.371,3168.126,3113.605,3154.125,0.007756
000001,2018/2/13,3176.107,3219.217,3176.107,3184.959,0.009776
000001,2018/2/14,3188.247,3203.497,3171.384,3199.159,0.004458
000001,2018/2/22,3237.569,3269.916,3234.115,3268.559,0.021693
000001,2018/2/23,3275.429,3294.134,3258.488,3289.024,0.006261
000001,2018/2/26,3307.295,3335.986,3281.615,3329.574,0.012329
000001,2018/2/27,3328.672,3328.672,3284.629,3292.068,-0.011265
000001,2018/2/28,3264.059,3277.832,3239.844,3259.408,-0.009921
000001,2018/3/1,3235.089,3280.149,3228.585,3273.755,0.004402
000001,2018/3/2,3248.446,3269.938,3242.267,3254.528,-0.005873
000001,2018/3/5,3255.871,3269.4,3236.717,3256.926,0.000737
000001,2018/3/6,3266.487,3290.253,3243.654,3289.642,0.010045
000001,2018/3/7,3288.865,3308.406,3264.764,3271.668,-0.005464
000001,2018/3/8,3268.347,3289.497,3261.552,3288.405,0.005116
000001,2018/3/9,3291.426,3309.715,3283.559,3307.166,0.005705
000001,2018/3/12,3319.209,3333.561,3313.555,3326.699,0.005906
000001,2018/3/13,3324.122,3333.875,3307.376,3310.239,-0.004948
000001,2018/3/14,3298.666,3304.979,3287.356,3291.382,-0.005697
000001,2018/3/15,3277.514,3297.098,3273.201,3291.112,-0.000082
000001,2018/3/16,3290.209,3300.565,3269.283,3269.882,-0.006451
000001,2018/3/19,3264.928,3280.567,3251.047,3279.252,0.002866
000001,2018/3/20,3257.219,3292.574,3252.433,3290.64,0.003473
000001,2018/3/21,3299.731,3314.209,3268.878,3280.952,-0.002944
000001,2018/3/22,3281.265,3288.797,3242.762,3263.48,-0.005325
000001,2018/3/23,3172.772,3188.235,3110.664,3152.761,-0.033927
000001,2018/3/26,3117.319,3134.276,3091.457,3133.722,-0.006039
000001,2018/3/27,3164.798,3172.778,3143.57,3166.649,0.010507
000001,2018/3/28,3130.571,3165.213,3117.534,3122.289,-0.014008
000001,2018/3/29,3127.263,3174.509,3098.247,3160.531,0.012248
000001,2018/3/30,3161.786,3177.721,3152.889,3168.897,0.002647
000001,2018/4/2,3169.779,3192.34,3159.986,3163.179,-0.001804
000001,2018/4/3,3130.013,3144.332,3119.132,3136.633,-0.008392
000001,2018/4/4,3147.049,3163.34,3128.867,3131.111,-0.00176
000001,2018/4/9,3125.441,3146.093,3110.302,3138.294,0.002294
000001,2018/4/10,3144.257,3190.649,3139.081,3190.322,0.016578
000001,2018/4/11,3197.372,3220.845,3191.586,3208.082,0.005567
000001,2018/4/12,3203.278,3205.252,3177.049,3180.158,-0.008704
000001,2018/4/13,3192.042,3197.896,3155.506,3159.052,-0.006637
000001,2018/4/16,3152.888,3153.106,3096.1,3110.649,-0.015322
000001,2018/4/17,3112.975,3118.76,3064.028,3066.797,-0.014097
000001,2018/4/18,3091.91,3096.889,3041.625,3091.399,0.008022
000001,2018/4/19,3094.274,3127.439,3090.287,3117.376,0.008403
000001,2018/4/20,3105.462,3111.171,3065.921,3071.543,-0.014702
000001,2018/4/23,3063.443,3085.057,3045.937,3068.012,-0.00115
000001,2018/4/24,3069.745,3136.039,3069.745,3128.927,0.019855
000001,2018/4/25,3112.398,3122.908,3107.001,3117.974,-0.003501
000001,2018/4/26,3119.496,3121.933,3067.929,3075.03,-0.013773
000001,2018/4/27,3082.415,3088.035,3049.914,3082.232,0.002342
000001,2018/5/2,3087.409,3097.604,3064.763,3081.177,-0.000342
000001,2018/5/3,3074.517,3105.66,3056.157,3100.859,0.006388
000001,2018/5/4,3093.117,3104.093,3086.785,3091.033,-0.003169
000001,2018/5/7,3094.899,3136.836,3091.658,3136.645,0.014756
000001,2018/5/8,3135.296,3169.701,3134.062,3161.498,0.007923
000001,2018/5/9,3160.138,3165.373,3145.657,3159.15,-0.000743
000001,2018/5/10,3169.05,3176.138,3155.533,3174.413,0.004831
000001,2018/5/11,3179.797,3180.756,3162.212,3163.263,-0.003512
000001,2018/5/14,3167.042,3183.816,3163.476,3174.032,0.003404
000001,2018/5/15,3180.425,3192.807,3164.518,3192.118,0.005698
000001,2018/5/16,3180.226,3191.948,3166.811,3169.565,-0.007065
000001,2018/5/17,3170.006,3172.766,3148.621,3154.282,-0.004822
000001,2018/5/18,3151.082,3193.453,3144.776,3193.303,0.012371
000001,2018/5/21,3206.176,3219.74,3203.336,3213.84,0.006431
000001,2018/5/22,3211.247,3214.589,3192.228,3214.35,0.000159
000001,2018/5/23,3205.437,3205.437,3168.964,3168.964,-0.01412
000001,2018/5/24,3167.939,3173.531,3152.069,3154.651,-0.004517
000001,2018/5/25,3148.41,3156.726,3131.068,3141.303,-0.004231
000001,2018/5/28,3136.809,3149.665,3115.959,3135.082,-0.00198
000001,2018/5/29,3129.621,3143.208,3112.153,3120.461,-0.004664
000001,2018/5/30,3081.142,3085.397,3041,3041.443,-0.025323
000001,2018/5/31,3061.829,3098.076,3054.269,3095.474,0.017765
000001,2018/6/1,3084.754,3102.088,3059.786,3075.137,-0.00657
000001,2018/6/4,3083.427,3098.402,3076.994,3091.191,0.005221
000001,2018/6/5,3088.008,3114.769,3080.046,3114.206,0.007445
000001,2018/6/6,3109.175,3117.525,3103.533,3115.18,0.000313
000001,2018/6/7,3121.184,3128.715,3105.578,3109.499,-0.001824
000001,2018/6/8,3100.604,3100.685,3053.288,3067.148,-0.01362
000001,2018/6/11,3057.339,3063.61,3037.914,3052.783,-0.004684
000001,2018/6/12,3053.028,3081.447,3034.101,3079.802,0.008851
000001,2018/6/13,3071.464,3071.464,3044.12,3049.796,-0.009743
000001,2018/6/14,3038.07,3066.047,3032.406,3044.16,-0.001848
000001,2018/6/15,3037.452,3048.797,3008.732,3021.901,-0.007312
000001,2018/6/19,2982.65,2984.971,2871.355,2907.822,-0.037751
000001,2018/6/20,2889.984,2925.561,2872.163,2915.731,0.00272
000001,2018/6/21,2912.003,2940.586,2872.619,2875.81,-0.013692
000001,2018/6/22,2855.585,2891.968,2837.144,2889.76,0.004851
000001,2018/6/25,2903.45,2908.624,2857.871,2859.336,-0.010528
000001,2018/6/26,2829.995,2850.24,2803.785,2844.508,-0.005186
000001,2018/6/27,2842.396,2854.258,2798.8,2813.177,-0.011015
000001,2018/6/28,2799.904,2825.987,2782.446,2786.897,-0.009342
